rank_test_score;param_ccp_alpha;param_criterion;param_max_depth;param_min_samples_split;mean_test_score;std_test_score
1;0;entropy;14;4;0.876683;0.002407
2;0;entropy;16;2;0.876583;0.003095
3;0;entropy;12;2;0.876483;0.002480
4;0;entropy;13;4;0.876300;0.003118
5;0;entropy;15;2;0.876267;0.003606
6;0;entropy;12;4;0.876100;0.003707
7;0;entropy;17;2;0.876083;0.002605
8;0;entropy;15;4;0.876033;0.002832
9;0;entropy;13;2;0.876000;0.002410
10;0;entropy;14;2;0.875800;0.002859
11;0;entropy;17;8;0.875733;0.003720
12;0;entropy;14;8;0.875367;0.003480
12;0;entropy;16;4;0.875367;0.002716
14;0;entropy;13;8;0.875350;0.002872
15;0;entropy;12;8;0.875217;0.002418
16;0;entropy;17;4;0.874867;0.003417
17;0;entropy;15;8;0.874667;0.003656
18;0;entropy;15;16;0.874600;0.004030
19;0;entropy;13;16;0.874533;0.004045
20;0;entropy;14;16;0.874483;0.004809
21;0;entropy;16;8;0.874383;0.003634
22;0;entropy;12;16;0.874233;0.004246
23;0;entropy;17;16;0.873817;0.004462
24;0;entropy;16;16;0.873467;0.004777
25;0;entropy;11;2;0.873450;0.003408
26;0;entropy;11;4;0.873317;0.003050
27;0;entropy;11;8;0.873183;0.003085
28;0;entropy;11;16;0.871617;0.003761
29;0;entropy;15;32;0.869733;0.004604
30;0;entropy;16;32;0.869467;0.004583
31;0;entropy;13;32;0.869450;0.004125
32;0;entropy;14;32;0.869267;0.004728
33;0;entropy;12;32;0.869000;0.004406
34;0;entropy;17;32;0.868917;0.004652
35;0;entropy;11;32;0.867483;0.003194
36;0;entropy;10;8;0.865567;0.001727
37;0;entropy;10;2;0.865283;0.001051
38;0;entropy;10;4;0.865233;0.002116
39;0;entropy;10;16;0.864550;0.002075
40;0;entropy;10;32;0.861333;0.002911
41;0;entropy;13;64;0.856400;0.004879
42;0;entropy;12;64;0.856300;0.004806
43;0;entropy;14;64;0.856067;0.004652
44;0;entropy;15;64;0.856017;0.004472
45;0;entropy;16;64;0.855983;0.004772
46;0;entropy;11;64;0.855550;0.004648
47;0;entropy;17;64;0.855467;0.004725
48;0;entropy;10;64;0.852350;0.003279
49;0;entropy;9;8;0.851133;0.002332
50;0;entropy;9;4;0.850950;0.002898
